Hotel_ID,Review Date,Location,Hotel/Restaurant name,Review
rn577879048,Reviewed 2 weeks ago , Kata Beach,The Tavern,We were recommend by friends who visited last year and we were not disappointed. The bar was easy to find and once found we were greeted by John and family and made to feel so welcome and wanted . John was a wonderful host and...More
rn577646613,Reviewed 2 weeks ago , Kata Beach,The Tavern,"Great host,food and banter.Lots of knowledge about the area if you haven't been before.
Would highly recommend."
rn577271909,Reviewed 2 weeks ago , Kata Beach,The Tavern,"We came there after we saw review from tripadvisor about this place, and it was true. It was definitely the best chiken i ate since i'm in thailand and the price is also not expensive, it come with big portion too. The owners are really...More"
rn576205814,Reviewed 3 weeks ago , Kata Beach,The Tavern,Just arrived from London. The food was amazing! Friendly staff and service. It’s a great place in the afternoon and/or for dinner.
rn575286973,Reviewed 3 weeks ago , Kata Beach,The Tavern,"Stayed 10 nights in Kata in March of which I spent 8 nights in the Tavern the other 2 nights it was closed.
Great friendly atmosphere a must place to visit. John is the perfect front man makes you feel right at home.
We were...More"
rn574832440,Reviewed 4 weeks ago , Kata Beach,The Tavern,"I've been coming to Phuket 2 -3 times a year for the past 8 years and have eaten and consumed many beers in most bars and restaurants in the area! Two years ago I found the Tavern and now make a beeline there every night,...More"
rn574419807,Reviewed 4 weeks ago , Kata Beach,The Tavern,"If you’re staying near Kata, The Tavern is the place to watch sport. A great bar, good food and excellent host and team of staff. I went to watch two Liverpool matches there during my holiday and despite John being and Man U fan (never...More"
rn573747356,Reviewed 4 weeks ago , Kata Beach,The Tavern,"Me and my partner found this place on trip advisor two days before we were set to leave Thailand. Well let’s just say after the first visit we decided to spend our last evening here too.
Food is not only tasty but a generous portions...More"
rn573443894,Reviewed 5 weeks ago , Kata Beach,The Tavern,"We’ve spent two weeks in Kata and about 5 of those nights we’ve eaten/drank in this bar. This isn’t just a sports bar, it serves the best food in Kata. Minnie’s food is amazing, every single dish we had was delicious. Tip - try the...More"
rn573379996,"Reviewed April 14, 2018 ", Kata Beach,The Tavern,"My wife and I dined here last night after reading the positive TripAdvisor reviews. This a great spot, good range of drinks and menu is extensive. We had the massaman chicken and chicken and cashew nuts and both were delicious. Possibly the best Thai food...More"
rn573306898,"Reviewed April 14, 2018 ", Kata Beach,The Tavern,"Everything was 5 stars, from the team behind the bar, food (10 stars if I could) and atmosphere. We visited on the day of the grand national, John the boss man gave everyone a free drink which was a perfect touch! If you feeling like...More"
rn572681213,"Reviewed April 11, 2018 ", Kata Beach,The Tavern,"The Tavern is not a sports bar.The Tavern is home and John, Minny and the staff will be your little family during your Kata’s holiday.The food is brilliant, fresh and delicious.The cocktails are special.Thanks guys to make our nights in Kata so beautiful.
Nico and...More"
rn572409177,"Reviewed April 10, 2018 ", Kata Beach,The Tavern,"Yeh I really liked this little sports bar come Thai restaurant. The English owner is often around and happy to talk / give his advice on the local area. We ate twice here and I thoroughly enjoyed it both times, in fact it was the...More"
rn572118953,"Reviewed April 9, 2018 ", Kata Beach,The Tavern,"I'm sitting right now enjoying a cold beer, the manager tells me that he can fix so that we can see our fav soccerteam play, he has been nothing else but nice, he and the other people are serviceminded here. I've been here off and...More"
rn572042905,"Reviewed April 8, 2018 ", Kata Beach,The Tavern,"Always feel welcome at The Tavern a pub for all occasions.
Clean tidy & friendly.
Great food - Thai and Western favourites served by fantastic staff with cold beers and cocktails at great prices.
A must when in Phuket."
rn571799298,"Reviewed April 7, 2018 ", Kata Beach,The Tavern,Popped in to watch an Australian game of rugby league and to have dinner. Was told by John the owner that he had THE best Thai food in town and he definitely didnt disappoint!!! All meals cooked by his lovely wife and came out fresh...More
rn571372878,"Reviewed April 5, 2018 ", Kata Beach,The Tavern,"My partner and I were a bit tired of Thai food and wanted a break from the hustle of the Main Street - the tavern was everything we hoped for! Set back off the Main Street it has a really nice chilled ambiance, a pub...More"
rn570878254,"Reviewed April 3, 2018 ", Kata Beach,The Tavern,"A really great bar and restaurant just off the main road in Kata, English and Thai food
really, really, good. John the boss man is a mind of information so pick his brains. Meow Johns wife is the chef in the kitchen cooking all the...More"
rn570336410,"Reviewed April 2, 2018 ", Kata Beach,The Tavern,"Just home from 2 week holiday with my wife in kata, this bar is our first stop ever time we go to kata. Great sports coverage, great food, and really friendly helpfully staff. Can't recommend highly enough."
rn569896374,"Reviewed March 31, 2018 ", Kata Beach,The Tavern,"I can not recommend this bar enough great service, great larger and it’s an amazing bar for the football."
rn569441041,"Reviewed March 29, 2018 ", Kata Beach,The Tavern,"With a hundred places to choose from in kata beach to have a meal and a beer , I am glad I found this place . The food is cheap and absolutely sensational that I’ve been back every day . I watched the NRL live...More"
rn569440887,"Reviewed March 29, 2018 ", Kata Beach,The Tavern,"Bloody bonza bloke who runs the place, really looks after you. The food is second to none in Thailand. Definitely worth a look for the food or international sport<f0><U+009F><U+0091><U+008D><f0><U+009F><U+008F><U+00BB><f0><U+009F><U+0091><U+008D><f0><U+009F><U+008F><U+00BB><f0><U+009F><U+0091><U+008D><f0><U+009F><U+008F><U+00BB> Again.... food is amazing!"
rn569140770,"Reviewed March 27, 2018 ", Kata Beach,The Tavern,Had late dinner before we headed to airport. I believe this is pretty much the only bar that opens late in kata area (with great food). Staffs were fun and happy. Definitely will go again when I come to Phuket again
rn568915200,"Reviewed March 26, 2018 ", Kata Beach,The Tavern,"We have used this pub every year for the last few years and have always found it good for a friendly night out,the food was always good with the previous owners but the food now is excellent,one night we ordered a boring beansprouts side dish...More"
rn568441997,"Reviewed March 24, 2018 ", Kata Beach,The Tavern,"We visited this bar/restaurant which was recommended by someone we met & were not disappointed!
The menu catered for everyone Thai food along with English dishes. I tried various food & my favourite was the chilli absolutely delish along with home made chips! All of...More"
rn568026680,"Reviewed March 22, 2018 ", Kata Beach,The Tavern,Really great restuarant/bar! Had Stir fried Pork in Cashews and Veg fried rice. More than enough for two people. Very tasty food and all tastes very fresh. Excellent service from John and the staff. All the food we received was delicious! Definitely worth a visit...More
rn567674107,"Reviewed March 20, 2018 ", Kata Beach,The Tavern,"Well worth a visit, friendly atmosphere and good food. Made welcome by John and staff the fish chips and mushy peas and bottle or two of magners a welcome change from Thai food and Chang <f0><U+009F><U+0091><U+008D>"
rn567154267,"Reviewed March 18, 2018 ", Kata Beach,The Tavern,Let me start by saying the only reason for wanting to give a less than 5 Star rating was purely because John (the owner) is a Man U fan and the night my partner and I visited it was to watch the mighty Liverpool beat...More
rn566683677,"Reviewed March 15, 2018 ", Kata Beach,The Tavern,"Located down a quiet street off the main drag! Consistently open later than most bars/restaurants around. Food was prepared fresh to order everytime, waiting a few extra minutes was worth it. We ate here a couple times during our stay. Food was excellent everytime! Awesome...More"
rn566463371,"Reviewed March 14, 2018 ", Kata Beach,The Tavern,"The best range of craft beers around, excellent food and incredibly friendly people (staff and customers alike). What more can I say. Go! You won't regret it!!!"
rn566300969,"Reviewed March 13, 2018 ", Kata Beach,The Tavern,You got to go here! Great thaifood and really good services . The man behind the bar isnt most important its the women behind the kitchen WHO is!
rn566273648,"Reviewed March 13, 2018 ", Kata Beach,The Tavern,"Great place to spend your relaxing time at. Good service nice people , alot tourist. Great food, and you can speak english to everyone!"
rn565813337,"Reviewed March 11, 2018 ", Kata Beach,The Tavern,"Stayed in Kata Beach for 6 days, ate there twice and the food is sooo good!
The wait is a bit longer than in other restaurants (15-20 minutes) but it is absolutely worth the wait!
Service is kind and the owner is extremely friendly!
Will...More"
rn565414497,"Reviewed March 9, 2018 ", Kata Beach,The Tavern,Seen good reviews about this place when looking on here and my god it did not disappoint! The owner is a great guy happily chats and welcomes all people that come in for a drink or food. The food was cooked fresh and tasted amazing...More
rn565283146,"Reviewed March 8, 2018 ", Kata Beach,The Tavern,"We stopped in here after a dentist appointment, my sister had an appetizer and glass of wine, I had nova and, so I had a beer and a zippy cup<f0><U+009F><U+0098><U+00AC>. Our server was friendly and funny therefor I thought I’d give this place a shout...More"
rn565251679,"Reviewed March 8, 2018 ", Kata Beach,The Tavern,"The staff and the owner are very friendly and we always felt so welcome, they recommended some tours and sightseeing for us and it was just great!
the food is amazing and not expensive at all - the Thai food especially is very good. It...More"
rn565243393,"Reviewed March 8, 2018 ", Kata Beach,The Tavern,"Spent a good few nights in here and really loved it. John, who runs it, is an excellent host, and provides plenty of advice about the area and places to go etc. It's a typical sports bar with great selection of beers and all sporting...More"
rn564579554,"Reviewed March 5, 2018 ", Kata Beach,The Tavern,Amazing food. Friendly owner. Highly recommend. I had the cheese burger. One of the best I have had.
rn563922769,"Reviewed March 3, 2018 ", Kata Beach,The Tavern,Every time I come back to this bar I am always overwhelmed by the effort John and mini put in. I have come today to see a massive range of Australian beers and 8 types of cider. Truly one of the best bars in phuket
rn563516766,"Reviewed March 1, 2018 ", Kata Beach,The Tavern,"Best sports bar in Kata, Karon. Can and will show all kind of sports-channals. Very good food and more kind of different beers than other bars. And John, the owner, is a super guy."
rn563309745,"Reviewed February 28, 2018 ", Kata Beach,The Tavern,What a great bar and restaurant. The food is cooked fresh to order so there is a little wait but well worth it. We ate here about 5 times and every dish was superb
rn563138066,"Reviewed February 27, 2018 ", Kata Beach,The Tavern,Visited here in January and what a fabulous place. A little off the main drag but well worth taking the time to find. The owner John and his lovely wife Meow are so friendly and welcoming and the atmosphere is great. So much so we...More
rn561386370,"Reviewed February 18, 2018 ", Kata Beach,The Tavern,"Visited several times. Enjoyed all the dishes. Good Thai chilies and curries. Good burgers, fried chicken and home cut fries. There is a modest selection of beer (mostly Thai) and good selection of cider if you are missing cider.
We visited during the Winter Olympics...More"
rn561360786,"Reviewed February 18, 2018 ", Kata Beach,The Tavern,"We visited The Tavern upon recommendation from another bar in Kata Beach. We were originally looking for somewhere to watch the football.
From the minute we arrived at The Tavern, John, the owner was very attentive and made us feel very welcome. They had a...More"
rn561147956,"Reviewed February 17, 2018 ", Kata Beach,The Tavern,This place is like a hidden pearl. You can watch all Kind off sports. Eat wonderful food. Its really fresh and made homemade. Nice Staff and you can feel relaxed. We have been here many times on our first time in kata. We enjoyed being...More
rn561000321,"Reviewed February 17, 2018 ", Kata Beach,The Tavern,Was ready to change it up after 5 days of Thai food. Great service and 5 tv’s with sports. Its very hard to find a good beer in Kata so we have been back a few times. Food and service were great. We are vegetarians...More
rn560985803,"Reviewed February 17, 2018 ", Kata Beach,The Tavern,"Great place for the whole family. If you like watching sport, the owner has every channel. Even the food is fabulous in this place. This place is worth visiting.<f0><U+009F><U+0091><U+008C><f0><U+009F><U+008F><U+00BC><f0><U+009F><U+0091><U+008D><f0><U+009F><U+008F><U+00BC><f0><U+009F><U+008C><U+00B4>"
rn560736172,"Reviewed February 15, 2018 ", Kata Beach,The Tavern,We are staying in Kata for 9 days and needed our Winter Olympics watching fix. The standard TV stations here don’t cover the olympics. So we figured an English pub might. We called ahead and spoke with the owner. He assured us the Olympics would...More
rn560343205,"Reviewed February 13, 2018 ", Kata Beach,The Tavern,"We came here last night after reading the rave reviews and knowing we would hear a familiar accent being northerners from the UK, we couldn’t not try it out! The food is unbelievable, all cooked fresh and you really, really can tell. We had homemade...More"
rn560047150,"Reviewed February 12, 2018 ", Kata Beach,The Tavern,Great for sport but the best part about the Tavern is the quality food it amazing all these commercial Restos have all frozen or pre prepared crap this place you will wait 30 mins for your food but all cooked from fresh and you can...More
rn559503635,"Reviewed February 9, 2018 ", Kata Beach,The Tavern,"This place is a hidden gem. It is very quiet and small, the owner is absolutely wonderful! He came over to the table and personally greeted us. The spring rolls are delicious and the burgers as well all made in-house here."
rn559203568,"Reviewed February 8, 2018 ", Kata Beach,The Tavern,"Well the best Thai food I have experienced in all the time I've been over to phuket. Red curry, chicken in chilli paste or go for the tower burgers. All amazing you will not be disappointed"
rn559203150,"Reviewed February 8, 2018 ", Kata Beach,The Tavern,"I keep returning to this hidden gem in Kata. New chef. Amazing food, even better than before. Relaxed atmosphere. Extremely friendly staff. Worth visiting!
The picture is pork in red curry paste. Cannot describe how amazingly tasty it is."
rn558552913,"Reviewed February 5, 2018 ", Kata Beach,The Tavern,"Hubby found out about this pub on here and what a find. Run by John the owner and his Thai wife, you will not be disappointed. All the food is cooked fresh by John's wife and is the best we had during our stay, they...More"
rn558083083,"Reviewed February 3, 2018 ", Kata Beach,The Tavern,"We have been here twice now, place is a god send, amazing Thai and European food, if you want to watch sport or have a great night with amazing food then look no further. Recommend the Chilli Chicken if you like spicey !! Home made...More"
rn557264634,"Reviewed January 29, 2018 ", Kata Beach,The Tavern,"Great bar for watching all the sport, really informative and helpful hosts ( John & Mini) Interesting local drinks :)"
rn557157976,"Reviewed January 29, 2018 ", Kata Beach,The Tavern,"Having been a regular at the tavern over the year's and seeing many staff and owners, its great to see what john and mini have done.
The new menu and chef are excellent, special mention to the pork curry. Now an even better equipped and...More"
rn556645553,"Reviewed January 27, 2018 ", Kata Beach,The Tavern,"Found the Tavern by accident one night and what a great find, John, Meow & staff were very friendly and easy going made you feel at home straight away. John was very informative and steered us to the best place to see and were to...More"
rn556268615,"Reviewed January 25, 2018 ", Kata Beach,The Tavern,"After reading some of the reviews, I thought this would be the place for me. I wasn't disappointed.
Not only was there plenty of live sport on, and a large pool table, the food was amazing. I had the Tower Burger and an icey cold...More"
rn555303600,"Reviewed January 21, 2018 ", Kata Beach,The Tavern,"Im in the restaurant business back in USA , I understand the aspects of a good restaurant, and what it takes to do that daily.The Tavern is doing it great and awesome! We were greeted immediate from the owner John and was seated with drink...More"
rn555105960,"Reviewed January 21, 2018 ", Kata Beach,The Tavern,well our time in phuket is coming to a close and it would be criminal not to write a review on this place. We were looking for somewhere to watch the game and stumbled aacross this place. The bar has more than one big screen...More
rn555077961,"Reviewed January 20, 2018 ", Kata Beach,The Tavern,Been here a few times now and the staff are really friendly. John is a really good bloke even for a Man U supporter made us feel really welcome. The food is top notch. The ale is a good price. Plenty of TV screens for...More
rn553917934,"Reviewed January 15, 2018 ", Kata Beach,The Tavern,"Found this place via tripadvisor, and went because we wanted good thai food, we were certainly not diassapointed. Very good seasoning. Would probably not have found this place on our own, as it is a bit of the street. Sorry to see that alot of...More"
rn553491773,"Reviewed January 12, 2018 ", Kata Beach,The Tavern,Great sports bar in a good location ! All the staff make you feel at ease and they have Lots of different drinks available including nice cocktails and cider although we didn’t have any food it looked really nice
rn551978866,"Reviewed January 6, 2018 ", Kata Beach,The Tavern,We unexpectedly had our best Thai food in Phuket here when we went to watch the football . The owner John is so friendly and informative and his Thai wife cooks the amazing food from scratch. They even went out of their way to make...More
rn551704266,"Reviewed January 5, 2018 ", Kata Beach,The Tavern,Great little place. Nice and relaxed with amazing Thai food and every sport channel you can imagine. Well worth a visit
rn551181885,"Reviewed January 3, 2018 ", Kata Beach,The Tavern,Great find. Thx to trip advisor. As we walked up we seen the Tav on the right and it was busy. The owner did tell me that the food is cooked to order so there will be a wait which is no problem on holiday....More
rn551170029,"Reviewed January 3, 2018 ", Kata Beach,The Tavern,"Great bar all round for food, drink and entertainment. John and his wife are very welcoming and keep making you want to come back."
rn550198877,"Reviewed December 30, 2017 ", Kata Beach,The Tavern,"Excellent bar, fantastic host John and his great friendly staff. Football for other half (come on City!!!). Would highly recommend visiting."
rn550186442,"Reviewed December 30, 2017 ", Kata Beach,The Tavern,I have never been to Kata before and was desperate to watch the football. I found this place on Google and was not disappointed. A really friendly family oriented place with superb food and all the sports you can watch. If you are in Kata...More
rn549275978,"Reviewed December 26, 2017 ", Kata Beach,The Tavern,"Hamburgers were really tasty, beefs actually homemade as read in menu. Nice, gold Magners cider was served."
rn548825529,"Reviewed December 23, 2017 ", Kata Beach,The Tavern,Relaxed sports bar away from the bustle of the main road. Not too far - only a few hundred yards but enough to relax and unwind. The kids enjoyed the European food and adults loved the fresh Thai dishes served beautifully. A happy family all...More
rn548588727,"Reviewed December 22, 2017 ", Kata Beach,The Tavern,"Have been going to the Tavern for 11 years now normally the starting point of the night for me. A great place for a evening meal Thai and English food, and cold beer @ a good price. All the world sports on a selection of...More"
rn548530317,"Reviewed December 21, 2017 ", Kata Beach,The Tavern,"Went here after reading the reviews , the staff are very friendly and attentive , it is a comfortable place to sit however off the main drag and on the occasion we visited it was very quiet and only had 1 other table all British...More"
rn548053659,"Reviewed December 19, 2017 ", Kata Beach,The Tavern,"Visited the tavern a couple of times on our recent visit to Thailand. Cracking little boozer with quality drinks and great viewing for the Premiership football. Had Thai food which was average, although the burgers/toasties we saw other people have looked spot on. Will definitely...More"
rn544486841,"Reviewed December 1, 2017 ", Kata Beach,The Tavern,"Good food, quality cold drinks, and sports to watch. John is a great host, funny and hospitable. We watched MMA and sumo fights, had a tasty bite and laughed for a few hours together, lots of fun! Definitely check it out."
rn544153980,"Reviewed November 29, 2017 ", Kata Beach,The Tavern,Stopped in to watch a game and have a cold beer. Did not disappoint. All the games were on and the staff quick and friendly. Will be back.
rn543264104,"Reviewed November 25, 2017 ", Kata Beach,The Tavern,"Very friendly staff, the owner gave us great tips for the rest of our trip and even had a shot with us on the house, cocktails was great and have ALL sports on. Recommend to all."
rn543101646,"Reviewed November 24, 2017 ", Kata Beach,The Tavern,"Went here so that my husband could watch the football.
The Tavern is not much to look at, however we had a pretty decent meal here. Stuck to the Thai menu and were not disappointed.
Friendly and attentive service.
Would recommend."
rn541878968,"Reviewed November 18, 2017 ", Kata Beach,The Tavern,Came past this place in Kata. After readindg other reviews. Yes plenty of tvs . So if sports your thing like me you will love this place. Beer cheap too and the food is fresh and delicious. Enjoyable
rn541508177,"Reviewed November 16, 2017 ", Kata Beach,The Tavern,"We visited kata earlier this year and discovered the tavern sports bar, What a find. When we returned in November it was always going to be our first call.fantastic bar if you into sport, but equally as good if your like my wife and not...More"
rn541136243,"Reviewed November 15, 2017 ", Kata Beach,The Tavern,I've been coming to Thailand for nearly 20 years with my wife. We decided to make the kids come this year. We all stumbled on this bar by accident. What a find every sport was playing on a number of screens. After a few of...More
rn540171389,"Reviewed November 11, 2017 ", Kata Beach,The Tavern,I have to say I've not been in here since the new owners took over at the beginning of this year so I was a little apprehensive. No idea why as the place is even better than it was. The bar was packed with football...More
rn540170804,"Reviewed November 11, 2017 ", Kata Beach,The Tavern,I've been here many times during my travels as a younger man. Myself and my partner have been here twice during the last 18 months. December/January and here now. All Sports catered for and whether you prefer Thai or European food they're both exceptional and...More
rn539660400,"Reviewed November 9, 2017 ", Kata Beach,The Tavern,Menu was really great had a large variety of cultures for when you want to eat something western. Excellent service.
rn538453949,"Reviewed November 5, 2017 ", Kata Beach,The Tavern,"Went to the tavern last night for a feed and hopefully something not slanted to the overwhelming Russian influence on this town.
Beer is reasonably priced and cold
Chicken green curry was very tasty but I forgot to ask for extra spicy <f0><U+009F><U+008C><U+00B6> (my fault)...More"
rn579810599,Reviewed 1 week ago , Kata Beach,Burger House Kata Beach,It's a small place. The staff is very friendly. The burgers (specially the Vega one) is absolutely amazing and from time to time a tasty variety to the local thai food. It's a little pricey but definitely worth.
rn579598272,Reviewed 1 week ago , Kata Beach,Burger House Kata Beach,"We enjoyed a nice lunch at the Kata beach Burger House. It was a great place for a burger and chips, and a nice change from Thai food. Very friendly service and the owner couldn’t have been more accommodating to us, even providing us with...More"
rn578806758,Reviewed 1 week ago , Kata Beach,Burger House Kata Beach,"Be ready to pay double for a full combo ( burger + fries + drink )
But also be ready for good service and good food !!
The home made sauce is a must and the food was served FRESH and VERYYYY TASTY !!"
rn575142546,Reviewed 3 weeks ago , Kata Beach,Burger House Kata Beach,"Very good food, and the owner was very nice and helpful.
We loved being there.
My daughter loved Sponge Bob all around. :)"
rn573153273,"Reviewed April 13, 2018 ", Kata Beach,Burger House Kata Beach,"Fab food, fab host and gorgeous homemade sauces. Would definitely recommend eating here. My partner loved the homemade sauces and the host/chef is rightly proud of them. Love atmosphere and felt really welcome."
rn572770266,"Reviewed April 11, 2018 ", Kata Beach,Burger House Kata Beach,"I like the Thai lady serving us for lunch. She was a bit shy with a sweet smile, and spoke to us softly! And the boss was polite. For a quick lunch, the hotdog I've ordered looked nice and was delicious. Maybe I should try...More"
rn572763147,"Reviewed April 11, 2018 ", Kata Beach,Burger House Kata Beach,Best Burgers by far! Patty was handmade and portion were big! Do not that they sell beers/alcohol but it is kept in a separated refrigerator and it is a little bit pricey.
rn570684132,"Reviewed April 3, 2018 ", Kata Beach,Burger House Kata Beach,"Tried their burgers two times for lunch during our holiday, they are very good. The there of us all had beef burgers, they have different kinds, all the ones we tried were good. Small place, with good service, so we can recommend."
rn568824080,"Reviewed March 26, 2018 ", Kata Beach,Burger House Kata Beach,It's alright and tastes like home. There are also super interesting and cheaper burgers done by locals in old phuket townMore
rn567661481,"Reviewed March 20, 2018 ", Kata Beach,Burger House Kata Beach,Great food and fair prices. Big portions and very friendly owners. I ve been here a few times and have always had a great meal. Can’t recommend this place enough. If you love burgers then this is the place for you.
rn565864819,"Reviewed March 11, 2018 ", Kata Beach,Burger House Kata Beach,"Indeed the best burgers in town. A must try is the sweet burger and fries. also try the jambalaya souce. Thanks Boris for always serving so good burgers and for always keeping your smile, to all your staff."
rn565195829,"Reviewed March 7, 2018 ", Kata Beach,Burger House Kata Beach,My gosh! Perfect shawarma(kebab)!!! Best in da hood. Not that tiny diner on a street! Also u can find all kinds of burgers. Will come back for sure. <f0><U+009F><U+0087><U+00B9><f0><U+009F><U+0087><U+00AD> <U+041B><U+0443><U+0447><U+0448><U+0430><U+044F> <U+0448><U+0430><U+0443><U+0440><U+043C><U+0430> <U+043D><U+0430> <U+0437><U+0430><U+043F><U+0430><U+0434><U+043D><U+043E><U+043C> <U+043F><U+043E><U+0431><U+0435><U+0440><U+0435><U+0436><U+044C><U+0435>!
rn565184535,"Reviewed March 7, 2018 ", Kata Beach,Burger House Kata Beach,We had chicken cheese burger for dinner - meat and veges were fresh and full-filling! We love the sauces offered (they are free) - we tried their homemade sauce samurai something which was not bad at all :). Staff very friendly
rn564270019,"Reviewed March 4, 2018 ", Kata Beach,Burger House Kata Beach,Excellent meal! Great time. Manager and staff are pleasant to talk to you and the food is simply amazing!!!
rn562634388,"Reviewed February 24, 2018 ", Kata Beach,Burger House Kata Beach,"We have visited burger house multuple times this trip and multiple times on our previous trip to kata 3 years ago. The texas fries are delicious! Loaded with barbecue sauce, spring onion, cheese and fresh tomato. The chicken shawarma wrap is also great, and the...More"
rn561207496,"Reviewed February 18, 2018 ", Kata Beach,Burger House Kata Beach,"there are lots of restuarants that serve burgers in Phuket but this is the only specialist burger house i found. The owner Boris also took time to talk to me,which gave it a personal touch. every other restuarant i went to was me paying money...More"
rn559723400,"Reviewed February 10, 2018 ", Kata Beach,Burger House Kata Beach,"We stopped by The Burger House while walking around Kata Beach. The food was very, very nice. Myself and my stepson had cheeseburgers and my partner had a chicken shawarma wrap. The burgers were obviously handmade and all our food was freshly cooked to order....More"
rn559342792,"Reviewed February 9, 2018 ", Kata Beach,Burger House Kata Beach,"The burgers were really good and tasty (maybe a little bit small if you're really hungry). The owner and the waitress were REALLY nice, polite and funny.
Really recommended!!!"
rn558941635,"Reviewed February 6, 2018 ", Kata Beach,Burger House Kata Beach,Lovely staff . Great food. Fresh Fish burger better than others I have tried. My wife had chicken wrap also extremely good. Great value for this part of town.
rn555333765,"Reviewed January 21, 2018 ", Kata Beach,Burger House Kata Beach,I feel Thailand should be the easiest place to find food for picky kids. Why my youngest daughter decided she hated rice and fried rice when we went to Thailand makes absolutely no sense. I feel she is trying to win a battle and I...More
rn554159295,"Reviewed January 16, 2018 ", Kata Beach,Burger House Kata Beach,"Stopped by for lunch, really good meaty burger and homemade dressing, loved the big fremhever fries as well. Really good service"
rn552487666,"Reviewed January 8, 2018 ", Kata Beach,Burger House Kata Beach,"The burgers here are really tasty, one of the best of Thailand! Owner and his wife are so kind. Definitely visit!"
rn552120355,"Reviewed January 6, 2018 ", Kata Beach,Burger House Kata Beach,"The staff is Very kind!!!
Boris speaks French, English very well!
The bread is fresh and the meat very well baked.
I recommend this restaurant to anyone who want to eat in a clean place!
The vibe is so good In burger house, I like...More"
rn551774871,"Reviewed January 5, 2018 ", Kata Beach,Burger House Kata Beach,"We went to this burger house after a big hangover and must say that it was the best thing we could do! The burgers are so sooo good! The bread is baked here, all the ingredients are fresh! This is the best burger of Kata,...More"
rn550503383,"Reviewed December 31, 2017 ", Kata Beach,Burger House Kata Beach,"Amazing Burgers! Boris runs a very cozy joint. Had the double, mushroom and fish burgers all where fantastic. Each with its own unique dressing. Really great for lunch after a long day at the beach."
rn547286681,"Reviewed December 14, 2017 ", Kata Beach,Burger House Kata Beach,We go there two times for Lunch and it was delicious. The Ban's were Soft and the Paddy's good grilled. The two from the Owner recommended Homemade Chilisauce are very yamyam.
